distances,S1,S2,S3,S4
-8.0,0.0,0.0,0.0,0.0
-7.0,0.0,0.0,0.0,0.0
-6.0,0.026000000000000002,0.0,0.0,0.0
-5.0,0.0,0.03,0.0,0.0
-4.5,0.06,0.0,0.034,0.0
-4.0,0.064,0.0,0.036000000000000004,0.0
-3.9,0.057999999999999996,0.0,0.032,0.0
-3.8,0.052000000000000005,0.0,0.026000000000000002,0.0
-3.7,0.044000000000000004,0.0,0.0,0.0
-3.6,0.034,0.0,0.0,0.0
-3.5,0.024,0.0,0.0,0.0
-3.4,0.0,0.0,0.0,0.0
-3.3,0.0,0.0,0.0,0.0
-3.2,0.0,0.0,0.0,0.0
-3.1,0.0,0.0,0.0,0.0
-3.0,0.0,0.0,0.0,0.0
-2.9,0.0,0.0,0.032,0.0
-2.8,0.0,0.0,0.046,0.0
-2.7,0.027999999999999997,0.032,0.062,0.0
-2.6,0.038,0.05,0.078,0.0
-2.5,0.048,0.07,0.09,0.0
-2.4,0.055999999999999994,0.09,0.102,0.0
-2.3,0.062,0.11199999999999999,0.11199999999999999,0.0
-2.2,0.066,0.134,0.11800000000000001,0.0
-2.1,0.064,0.152,0.12,0.0
-2.0,0.06,0.168,0.11800000000000001,0.0
-1.9,0.05,0.182,0.11199999999999999,0.0
-1.8,0.038,0.19399999999999998,0.102,0.0
-1.7,0.024,0.20199999999999999,0.08800000000000001,0.0
-1.6,0.0,0.20600000000000002,0.07,0.0
-1.5,0.0,0.20800000000000002,0.05,0.0
-1.4,0.0,0.20800000000000002,0.03,0.0
-1.3,0.0,0.20199999999999999,0.0,0.0
-1.2,0.05,0.192,0.0,0.0
-1.1,0.08800000000000001,0.18,0.0,0.0
-1.0,0.128,0.162,0.022000000000000002,0.0
-0.9,0.166,0.138,0.05,0.0
-0.8,0.198,0.11199999999999999,0.076,0.0
-0.7,0.226,0.104,0.084,0.0
-0.6,0.248,0.128,0.055999999999999994,0.0
-0.5,0.266,0.15000000000000002,0.032,0.0
-0.4,0.278,0.16999999999999998,0.0,0.0
-0.3,0.28800000000000003,0.184,0.0,0.0
-0.2,0.294,0.196,0.0,0.0
-0.1,0.298,0.202,0.0,0.0
0.0,0.3,0.20400000000000001,0.0,0.0
0.1,0.298,0.202,0.0,0.0
0.2,0.294,0.196,0.0,0.0
0.3,0.28800000000000003,0.184,0.0,0.0
0.4,0.278,0.16999999999999998,0.0,0.0
0.5,0.266,0.15000000000000002,0.032,0.0
0.6,0.248,0.128,0.055999999999999994,0.0
0.7,0.226,0.104,0.084,0.0
0.8,0.198,0.11199999999999999,0.076,0.0
0.9,0.166,0.138,0.05,0.0
1.0,0.128,0.162,0.022000000000000002,0.0
1.1,0.08800000000000001,0.18,0.0,0.0
1.2,0.05,0.192,0.0,0.0
1.3,0.0,0.20199999999999999,0.0,0.0
1.4,0.0,0.20800000000000002,0.03,0.0
1.5,0.0,0.20800000000000002,0.05,0.0
1.6,0.0,0.20600000000000002,0.07,0.0
1.7,0.024,0.20199999999999999,0.08800000000000001,0.0
1.8,0.038,0.19399999999999998,0.102,0.0
1.9,0.05,0.182,0.11199999999999999,0.0
2.0,0.06,0.168,0.11800000000000001,0.0
2.1,0.064,0.152,0.12,0.0
2.2,0.066,0.134,0.11800000000000001,0.0
2.3,0.062,0.11199999999999999,0.11199999999999999,0.0
2.4,0.055999999999999994,0.09,0.102,0.0
2.5,0.048,0.07,0.09,0.0
2.6,0.038,0.05,0.078,0.0
2.7,0.027999999999999997,0.032,0.062,0.0
2.8,0.0,0.0,0.046,0.0
2.9,0.0,0.0,0.032,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0
3.5,0.024,0.0,0.0,0.0
3.6,0.034,0.0,0.0,0.0
3.7,0.044000000000000004,0.0,0.0,0.0
3.8,0.052000000000000005,0.0,0.026000000000000002,0.0
3.9,0.057999999999999996,0.0,0.032,0.0
4.0,0.064,0.0,0.036000000000000004,0.0
4.5,0.06,0.0,0.034,0.0
5.0,0.0,0.03,0.0,0.0
6.0,0.026000000000000002,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
