distances,S0,S1,S2,S3,S4
-8.0,0.6054865463984243,4.7467441615747585,4.82167831812178,5.012660012881363,5.016262059310072
-7.0,0.5411200152334459,4.670952577649075,4.761440838121924,4.937491719611384,4.949674410395969
-6.0,0.45537676949970773,4.5583071795461505,4.6722930189434315,4.851353039784033,4.862827700152177
-5.0,0.35993704072734545,4.488634090055666,4.514758253172707,4.7305241028466085,4.757357441008761
-4.5,0.3247807921311505,4.419253902241217,4.478081321132655,4.643412751008565,4.718236028118538
-4.0,0.2674887709540599,4.344421399515202,4.43608740414132,4.5868810090159124,4.6628880627653935
-3.9,0.2529834281403964,4.334130863907044,4.424841380668919,4.582416596476959,4.64938876178779
-3.8,0.2380507078987648,4.325303411175904,4.4135602396840925,4.579647345662105,4.635512216223549
-3.7,0.22304701922939785,4.317629634491769,4.402639417742034,4.5778020956434124,4.621530594033112
-3.6,0.20831170760948226,4.310635359429101,4.392382849588993,4.575876007057249,4.607706389832921
-3.5,0.19414383492085108,4.303729095339415,4.382974982977927,4.572727611466925,4.594278934226056
-3.4,0.18077978946848816,4.2962455347607325,4.37446222000435,4.567196291289579,4.581447121355686
-3.3,0.16837786268251875,4.287517156532102,4.3667415733885795,4.5582465374938534,4.569360302483374
-3.2,0.15701551309894057,4.276968416945315,4.359566789020193,4.5451180275527765,4.558114532328479
-3.1,0.14669301043977612,4.264216079009195,4.352572458900478,4.527445355997928,4.547753677473625
-3.0,0.13733680452878616,4.249140640189888,4.345303520175145,4.505321324683321,4.538265795485282
-2.9,0.128818740980023,4.2319257621709365,4.337275516118292,4.479318568980448,4.5295963729209126
-2.8,0.12094751144059046,4.213018202033558,4.328020127736406,4.450403514958088,4.521626469049156
-2.7,0.11349713669324046,4.193066501727794,4.317163598080051,4.4198568816524,4.514197051164929
-2.6,0.10621619141784322,4.172823371318522,4.3044831329950535,4.389134723573079,4.507106471625754
-2.5,0.09885101696863785,4.1530577984233155,4.289951835337769,4.359744654269201,4.5001286259687605
-2.4,0.0911707209747874,4.134484285185316,4.273754267347526,4.333132902808092,4.49303403590891
-2.3,0.0829935546444176,4.117713908203712,4.256275295094891,4.310600874184939,4.48561778040734
-2.2,0.07421943051122071,4.103223797871306,4.238066271740358,4.293236078695802,4.4777357092881775
-2.1,0.06484640915550699,4.091316109215998,4.219802817620159,4.281858812554458,4.46932771571983
-2.0,0.054984594016787014,4.082088793842661,4.202243892809361,4.2769862397147955,4.460439275357505
-1.9,0.04486014935946514,4.075345399587979,4.186186588165537,4.2787465331346075,4.451235850913959
-1.8,0.034794569090081495,4.070488789956881,4.172415137702543,4.286802315731119,4.441991498903546
-1.7,0.025190392423155572,4.066406109073724,4.1616727857217874,4.300261975914386,4.433078709369096
-1.6,0.016500824903687317,4.06138177503567,4.154605646599621,4.317580862532612,4.4249410359872705
-1.5,0.00919951592140933,4.053162381332147,4.151743012351992,4.336527911943777,4.418059531411758
-1.4,0.0037497342773349374,4.039330895919539,4.15345909295796,4.354251828467594,4.412918249095989
-1.3,0.0005675954889738932,4.018015166511083,4.159940003545921,4.36757003599349,4.409960792541418
-1.2,2.7284841053187847e-12,3.988633427628615,4.171166791721743,4.373543250025426,4.409562080778264
-1.1,0.0022930017435101036,3.9521312860944957,4.18689478323265,4.370184824829756,4.41199194992849
-1.0,0.0075460519237822155,3.9105688675649732,4.2066221166847475,4.356973604468406,4.417365354172302
-0.9,0.015687361125401367,3.866464806279584,4.229602678896857,4.334919183541786,4.42561877029244
-0.8,0.026437461147907015,3.8222686198673963,4.2548391859584225,4.30616287005521,4.436473660663132
-0.7,0.03929589485505858,3.780081978031597,4.273414262563527,4.281125792202792,4.449424932121746
-0.6,0.0535363045428312,3.741549435979844,4.239451916397809,4.307126330509052,4.463741789294274
-0.5,0.06824102239625063,3.707858857937921,4.206797367034024,4.3314968937013285,4.47850348658522
-0.4,0.08236046396814345,3.6797818752487235,4.177547676169011,4.353012399067169,4.492661440327607
-0.3,0.09480361160103712,3.657769129422502,4.153322030093518,4.370670416005783,4.505126731589647
-0.2,0.10454993777830168,3.6420084469788274,4.135271574633622,4.383741017718053,4.514883837334585
-0.1,0.11076449397842225,3.632557166789053,4.1241606655941885,4.39175270478725,4.521102781779728
0.0,0.11289954122457857,3.629409701610984,4.120411988105702,4.394449901058829,4.523239105053983
0.1,0.11076449398342447,3.6325571667940704,4.124160665599186,4.391752704792224,4.521102781784702
0.2,0.10454993777602795,3.6420084469766536,4.135271574631448,4.383741017715864,4.514883837332372
0.3,0.09480361160558459,3.6577691294271295,4.153322030097992,4.370670416010356,4.505126731594197
0.4,0.08236046396586971,3.679781875246465,4.177547676166749,4.3530123990649585,4.492661440325331
0.5,0.06824102239897911,3.7078588579406797,4.206797367036783,4.331496893704033,4.478503486587998
0.6,0.053536304546014435,3.7415494359830497,4.239451916400869,4.307126330512294,4.463741789297456
0.7,0.039295894857332314,3.7800819780338233,4.273414262565809,4.281125792205036,4.449424932124007
0.8,0.026437461146542773,3.822268619866072,4.2548391859571355,4.306162870053879,4.436473660661797
0.9,0.01568736112676561,3.8664648062809275,4.229602678898245,4.33491918354315,4.425618770293829
1.0,0.007546051929239184,3.9105688675703725,4.206622116690196,4.356973604473826,4.417365354177749
1.1,0.0022930017476028297,3.952131286098411,4.186894783236687,4.3701848248338635,4.411991949932621
1.2,0.0,3.9886334276259543,4.171166791719073,4.373543250022707,4.409562080775548
1.3,0.0005675954939761141,4.018015166516148,4.159940003550996,4.367570035998588,4.409960792546492
1.4,0.003749734280518169,4.039330895922717,4.153459092961189,4.3542518284708,4.41291824909919
1.5,0.00919951592140933,4.053162381332172,4.1517430123520205,4.3365279119436995,4.418059531411721
1.6,0.016500824902323075,4.061381775034331,4.154605646598205,4.317580862531174,4.424941035985883
1.7,0.025190392424065067,4.066406109074638,4.161672785722748,4.300261975915322,4.433078709369975
1.8,0.034794569086443516,4.070488789953232,4.172415137698888,4.286802315727387,4.4419914988999
1.9,0.04486014936173888,4.075345399590243,4.1861865881677724,4.278746533136834,4.451235850916169
2.0,0.05498459401542277,4.082088793841293,4.2022438928080525,4.276986239713437,4.460439275356134
2.1,0.06484640915823547,4.091316109218748,4.219802817622838,4.2818588125570916,4.46932771572252
2.2,0.07421943051258495,4.103223797872808,4.238066271741813,4.293236078697171,4.477735709289532
2.3,0.08299355464168912,4.117713908200933,4.256275295092137,4.310600874182155,4.485617780404597
2.4,0.09117072097205892,4.134484285182533,4.273754267344789,4.333132902805397,4.493034035906191
2.5,0.09885101697136633,4.153057798425977,4.28995183534045,4.359744654271897,4.500128625971494
2.6,0.10621619142011696,4.172823371320742,4.304483132997301,4.389134723575337,4.507106471628002
2.7,0.11349713669505945,4.1930665017295565,4.31716359808184,4.4198568816542405,4.514197051166752
2.8,0.12094751144741167,4.213018202040396,4.328020127743224,4.450403514964969,4.521626469055995
2.9,0.12881874098411572,4.231925762175069,4.337275516122404,4.47931856898449,4.529596372924998
3.0,0.13733680452469343,4.249140640185806,4.34530352017105,4.5053213246793,4.53826579548127
3.1,0.14669301044477834,4.264216079014072,4.352572458905388,4.5274453560028185,4.547753677478514
3.2,0.15701551310348805,4.276968416949873,4.359566789024711,4.545118027557334,4.558114532333051
3.3,0.16837786268570198,4.28751715653537,4.366741573391774,4.558246537497054,4.569360302486591
