distances,S1,S2,S3,S4
-8.0,1.0,1.0,1.0,1.0
-7.0,1.0,1.0,1.0,1.0
-6.0,0.972,1.0,1.0,1.0
-5.0,1.0,0.966,1.0,1.0
-4.5,0.93,1.0,0.9520000000000001,1.0
-4.0,0.9259999999999999,1.0,0.948,1.0
-3.9,0.932,1.0,0.9540000000000001,1.0
-3.8,0.94,1.0,0.9620000000000001,1.0
-3.7,0.948,1.0,1.0,1.0
-3.6,0.96,1.0,1.0,1.0
-3.5,0.97,1.0,1.0,1.0
-3.4,1.0,1.0,1.0,1.0
-3.3,1.0,1.0,1.0,1.0
-3.2,1.0,1.0,1.0,1.0
-3.1,1.0,1.0,1.0,1.0
-3.0,1.0,1.0,1.0,1.0
-2.9,1.0,1.0,0.9640000000000001,1.0
-2.8,1.0,1.0,0.948,1.0
-2.7,0.968,0.9620000000000001,0.93,1.0
-2.6,0.958,0.9440000000000001,0.914,1.0
-2.5,0.946,0.924,0.9,1.0
-2.4,0.938,0.904,0.8859999999999999,1.0
-2.3,0.932,0.882,0.8759999999999999,1.0
-2.2,0.9279999999999999,0.86,0.87,1.0
-2.1,0.9279999999999999,0.8420000000000001,0.868,1.0
-2.0,0.932,0.826,0.87,1.0
-1.9,0.94,0.812,0.8759999999999999,1.0
-1.8,0.9520000000000001,0.8,0.8859999999999999,1.0
-1.7,0.968,0.792,0.9,1.0
-1.6,1.0,0.7859999999999999,0.92,1.0
-1.5,1.0,0.784,0.94,1.0
-1.4,1.0,0.7859999999999999,0.958,1.0
-1.3,1.0,0.792,1.0,1.0
-1.2,0.94,0.802,1.0,1.0
-1.1,0.902,0.8140000000000001,1.0,1.0
-1.0,0.86,0.8340000000000001,0.968,1.0
-0.9,0.8220000000000001,0.856,0.946,1.0
-0.8,0.7879999999999999,0.882,0.922,1.0
-0.7,0.76,0.894,0.91,1.0
-0.6,0.738,0.868,0.938,1.0
-0.5,0.72,0.846,0.9620000000000001,1.0
-0.4,0.706,0.826,1.0,1.0
-0.3,0.696,0.81,1.0,1.0
-0.2,0.69,0.8,1.0,1.0
-0.1,0.6859999999999999,0.792,1.0,1.0
0.0,0.6859999999999999,0.79,1.0,1.0
0.1,0.6859999999999999,0.792,1.0,1.0
0.2,0.69,0.8,1.0,1.0
0.3,0.696,0.81,1.0,1.0
0.4,0.706,0.826,1.0,1.0
0.5,0.72,0.846,0.9620000000000001,1.0
0.6,0.738,0.868,0.938,1.0
0.7,0.76,0.894,0.91,1.0
0.8,0.7879999999999999,0.882,0.922,1.0
0.9,0.8220000000000001,0.856,0.946,1.0
1.0,0.86,0.8340000000000001,0.968,1.0
1.1,0.902,0.8140000000000001,1.0,1.0
1.2,0.94,0.802,1.0,1.0
1.3,1.0,0.792,1.0,1.0
1.4,1.0,0.7859999999999999,0.958,1.0
1.5,1.0,0.784,0.94,1.0
1.6,1.0,0.7859999999999999,0.92,1.0
1.7,0.968,0.792,0.9,1.0
1.8,0.9520000000000001,0.8,0.8859999999999999,1.0
1.9,0.94,0.812,0.8759999999999999,1.0
2.0,0.932,0.826,0.87,1.0
2.1,0.9279999999999999,0.8420000000000001,0.868,1.0
2.2,0.9279999999999999,0.86,0.87,1.0
2.3,0.932,0.882,0.8759999999999999,1.0
2.4,0.938,0.904,0.8859999999999999,1.0
2.5,0.946,0.924,0.9,1.0
2.6,0.958,0.9440000000000001,0.914,1.0
2.7,0.968,0.9620000000000001,0.93,1.0
2.8,1.0,1.0,0.948,1.0
2.9,1.0,1.0,0.9640000000000001,1.0
3.0,1.0,1.0,1.0,1.0
3.1,1.0,1.0,1.0,1.0
3.2,1.0,1.0,1.0,1.0
3.3,1.0,1.0,1.0,1.0
3.4,1.0,1.0,1.0,1.0
3.5,0.97,1.0,1.0,1.0
3.6,0.96,1.0,1.0,1.0
3.7,0.948,1.0,1.0,1.0
3.8,0.94,1.0,0.9620000000000001,1.0
3.9,0.932,1.0,0.9540000000000001,1.0
4.0,0.9259999999999999,1.0,0.948,1.0
4.5,0.93,1.0,0.9520000000000001,1.0
5.0,1.0,0.966,1.0,1.0
6.0,0.972,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0
